name,creator,key,tab
Walk This Way,Aerosmith,C,-5 5 6 7 -5 5 6 7 4 1 1 -5 5 6 7 -5 5 6 7 4
Happy Birthday,Public Domain,C,6 6 -6 6 7 -7 6 6 -6 6 -8 7 6 6 9 8 7 -7 -6 -9 -9 8 7 -8 7
Happy Together,Turtles,C,5 -6 -7 7 -7 7 -7 7 8 -8 7 -7 -6 -7 -6 -7 -6 6 -6 -7 -8 7 -7 -6 6 -6 6 -6 6 -5 6 -6 -6 -6 -7 -6 6 8 2 -1 0 8 7 -6 6 -7 -8 -9 9 -9 8 7 8 -9 9 -1 0 8 7 -6 6 -7 -8 -9 9 -9 8 7 8 -9 9 7 -7 7 -7 -6 -7 7 8 -8 7 -7 -6 -7 -6 -7 -6 6 -6 -7 -8 7 -7 -6 6 -6 6 -6 6 -5 6 -6 -6 -6 -7 -6 6 8 -6 -6 -7 -6 6 8 -6 -6 -7 -6 6 8 -6 -7 -6 6 8 -6 -6 -7 -6 6 8 -6 -7 -6 -6 6 8 -6 -6 -7 -6 6 8
Hes Got The Whole World In His Hands,Laurie London,C,6 6 5 6 5 4 -6 -6 6 6 6 5 -5 -4 -3 -6 -6 6 6 6 5 6 5 4 -6 -6 6 6 6 5 6 6 -5 -4 4
"Hello, Goodbye",Beatles,C,-8 -9 -9 7 8 8 -7 -8 -8 6 -6 7 7 8 9 9 8 -9 -9 8 -8 7 -8 6 7 7 -6 7 6 7 8 9 6 7 8 -9 -9 8 -8 7 7 7 -7 7 7 -8 8 -9 -9 -9 1 0 -1 0 9 8 7 8 9 7 7 -7 7 7 9 8 8 8 8 8 7 -8 7 7
"Hold Me, Thrill Me, Kiss Me",Karen Chandler,C,7 7 7 7 8 -8 8 -8 7 -7 -6 -7 6 6 6 6 -6 6 -6 6 -5 5 -4 5 4 4 5 -4 5 -4 5 -4 4 -4 5 7 7 7 7 8 -8 8 -8 7 -7 -6 -7 6 6 6 6 -6 6 -6 6 -5 5 -4 5 4 4 4 4 5 -4 5 -4 5 -4 4 -4 4 4 -4 -4 -4 -4 5 -4 4 -4 5 5 -4 5 -5 -5 -5 -5 6 -5 5 -5 6 5 -5 -5 -5 -5 6 -5 5 -5 6 6 6 6 -7 -7 -6 -6 -7 -7 -6 -6 -7 -7 -6 -7 -6 -7 7 7 7 7 7 8 -8 7 -8 7 -7 -7 -6 -7 6 6 6 6 -6 6 -6 6 -5 5 -4 5 4 4 4 4 -4 5 -5 6 -6 -7 7 -8 7
Toune Autonme,Cowboys Fringants,C,6 -5 5 5 -5 -5 6 -6 6 -5 5 6 -5 5 4 4 4 -4 -4 5 -4 3 6 -5 5 5 -5 -5 6 -6 6 -5 5 6 -5 5 4
Le Pouceux,Cowboys Fringants,C,4 6 6 -7 7 7 -7 -6 -6 7 -7 -6 6 2 6 6 5 5 -6 -6 -5 -5 1 6 6 -7 7 7 -7 -6 -6 7 -7 -6 6 -6 7 8 -8 7 -7 7 -8 7 -7 7 7 -7 -6 7 -8 -9 9 9 -9 8 7 -7 -6 6 -6
Hush Little Baby,Public Domain,C,3 5 5 5 -5 5 -4 -4 -4 3 3 -4 -4 -4 -4 5 -4 4 4 3 5 5 -5 5 -4 -4 3 3 -4 -4 -4 -4 5 -4 4 4
"Bad, Bad, Leroy Brown",Jim Croce,C,6 8 -8 -8 7 7 -6 -6 6 8 8 -8 -8 7 6 -6 6 8 8 8 -8 -8 -8 -8 7 -6 -6 6 8 8 -8 -8 7 6 8 -8 -8 7 7 -6 6 -6 6 8 8 -8 -8 7 -6 6 8 8 8 8 -8 -8 -8 -8 -8 7 -6 6 8 8 -8 -8 7 6 -6 7 7 8 -8 7 -8 -8 -8 -8 -8 -8 8 8 -8 7 8 8 8 8 8 -8 7 -6 8 8 8 8 -8 -8 7 -6 8 -8 -8 7 7 -6 6 -6 8 8 -8 -8 7 -6 6 8 8 8 8 -8 -8 7 6 -6 6 8 8 -8 -8 7 6 -6 6 8 -8 -8 7 7 -6 6 -6 6 8 8 8 8 -8 6 -6 6 8 8 8 8 -8 7 -8 -8 -8 -8 6 -6 6 8 8 -8 -8 7 2 6 8 -8 -8 7 7 7 -6 8 -8 -8 7 -6 6 -6 6 8 8 8 8 -8 7 -8 -8 -8 7 -6 8 8 -8 -8 7 -6 6 8 8 -8 -8 -8 7 -6 6 -8 -8 -8 7 -6 -6 8 8 8 8 -8 -8 -8 -8 -8 7 -6 6 8 8 8 -8 -8 7 3 -6 6 8 8 -8 -8 -8 7 -6 -6 6 8 8 -8 -8 7 8 8 8 -8 -8 -8 -8 -8 7 -6 6 8 8 8 -8 -8 7
